sourceId,difficulty,primaryTheme,reviewStatus,legalSetup,legalSolution,lineEndsOnPlayerMove,noPrematureTerminal,uniquePositionAndLine,qualityBounds,inclusionReason
3uoHZ,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4721 plays, and rating deviation 74"
3xco3,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 3759 plays, and rating deviation 75"
426nd,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3391 plays, and rating deviation 75"
45Li2,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 100, 1020 plays, and rating deviation 76"
4BGWl,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3422 plays, and rating deviation 75"
4IM6l,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1048 plays, and rating deviation 76"
4KEcq,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 98, 2594 plays, and rating deviation 76"
4N8sM,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 100, 1199 plays, and rating deviation 76"
4NwJW,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 8573 plays, and rating deviation 78"
4OXSo,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4460 plays, and rating deviation 75"
4PMxS,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 5157 plays, and rating deviation 75"
4V3TP,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 3304 plays, and rating deviation 75"
4X90I,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4455 plays, and rating deviation 74"
4kgup,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4103 plays, and rating deviation 75"
4pI19,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 8636 plays, and rating deviation 75"
4sfvt,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5503 plays, and rating deviation 77"
4wVV5,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 99, 1048 plays, and rating deviation 77"
53Klw,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4795 plays, and rating deviation 75"
54GHs,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4061 plays, and rating deviation 75"
56JlY,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1380 plays, and rating deviation 79"
5ABUy,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 3992 plays, and rating deviation 75"
5H4ZV,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 99, 1070 plays, and rating deviation 77"
5QRFR,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4252 plays, and rating deviation 76"
5Xpzn,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 98, 2145 plays, and rating deviation 76"
5d1X1,hard,skewer,approved,true,true,true,true,true,true,"Approved hard Skewer puzzle with popularity 98, 1487 plays, and rating deviation 74"
5mYWI,easy,deflection,approved,true,true,true,true,true,true,"Approved easy Deflection puzzle with popularity 100, 5426 plays, and rating deviation 75"
5qFMq,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3997 plays, and rating deviation 77"
5rk8P,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5021 plays, and rating deviation 74"
5sZfD,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4737 plays, and rating deviation 75"
5vZqW,hard,promotion,approved,true,true,true,true,true,true,"Approved hard Promotion puzzle with popularity 99, 1197 plays, and rating deviation 77"
60MiX,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 99, 1095 plays, and rating deviation 76"
616pP,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 98, 1589 plays, and rating deviation 76"
62iQf,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 13931 plays, and rating deviation 76"
62rXy,easy,advancedPawn,approved,true,true,true,true,true,true,"Approved easy Advanced pawn tactics puzzle with popularity 100, 7221 plays, and rating deviation 75"
64kUP,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 99, 1097 plays, and rating deviation 77"
65lcQ,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3309 plays, and rating deviation 75"
668Xn,easy,discoveredAttack,approved,true,true,true,true,true,true,"Approved easy Discovered attack puzzle with popularity 100, 4077 plays, and rating deviation 75"
6B1yS,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3450 plays, and rating deviation 77"
6E3Ms,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1007 plays, and rating deviation 76"
6HfOL,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3722 plays, and rating deviation 75"
6Qkjs,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3422 plays, and rating deviation 75"
6XKai,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 12811 plays, and rating deviation 77"
6Yt3F,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 4035 plays, and rating deviation 75"
6aKLW,easy,discoveredAttack,approved,true,true,true,true,true,true,"Approved easy Discovered attack puzzle with popularity 100, 8742 plays, and rating deviation 75"
6balH,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 3264 plays, and rating deviation 75"
6dXdJ,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5692 plays, and rating deviation 76"
6hNqo,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3297 plays, and rating deviation 76"
6jXP6,easy,promotion,approved,true,true,true,true,true,true,"Approved easy Promotion puzzle with popularity 100, 3860 plays, and rating deviation 76"
6wJDV,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5240 plays, and rating deviation 75"
7Og0K,hard,discoveredAttack,approved,true,true,true,true,true,true,"Approved hard Discovered attack puzzle with popularity 99, 1042 plays, and rating deviation 76"
7RZ1H,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 2901 plays, and rating deviation 75"
7STMD,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 6818 plays, and rating deviation 75"
7Y0C7,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 3585 plays, and rating deviation 74"
7aqCB,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4267 plays, and rating deviation 76"
7kGPt,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 4464 plays, and rating deviation 76"
7rf3T,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3734 plays, and rating deviation 76"
7ssso,medium,advancedPawn,approved,true,true,true,true,true,true,"Approved medium Advanced pawn tactics puzzle with popularity 100, 3437 plays, and rating deviation 75"
80zKV,easy,pin,approved,true,true,true,true,true,true,"Approved easy Pin puzzle with popularity 100, 4732 plays, and rating deviation 76"
89OlB,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4168 plays, and rating deviation 75"
8Axgi,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 7086 plays, and rating deviation 75"
8D82m,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4288 plays, and rating deviation 75"
8M4A6,hard,skewer,approved,true,true,true,true,true,true,"Approved hard Skewer puzzle with popularity 100, 1094 plays, and rating deviation 77"
8MCl2,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1227 plays, and rating deviation 76"
8PYF2,hard,deflection,approved,true,true,true,true,true,true,"Approved hard Deflection puzzle with popularity 98, 3636 plays, and rating deviation 75"
8Q3bm,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 5452 plays, and rating deviation 75"
8RSFP,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 4123 plays, and rating deviation 76"
8SmOR,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4997 plays, and rating deviation 78"
8W6eO,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4056 plays, and rating deviation 76"
8apNf,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4512 plays, and rating deviation 74"
8feKb,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4508 plays, and rating deviation 76"
8g4h0,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 21229 plays, and rating deviation 77"
8lHpT,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 99, 2671 plays, and rating deviation 77"
8t67f,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 99, 1077 plays, and rating deviation 76"
8tmXa,hard,promotion,approved,true,true,true,true,true,true,"Approved hard Promotion puzzle with popularity 99, 1597 plays, and rating deviation 77"
94YM7,easy,pin,approved,true,true,true,true,true,true,"Approved easy Pin puzzle with popularity 100, 4683 plays, and rating deviation 74"
9Ajox,easy,discoveredAttack,approved,true,true,true,true,true,true,"Approved easy Discovered attack puzzle with popularity 100, 6181 plays, and rating deviation 76"
9B1Pa,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 100, 1260 plays, and rating deviation 79"
9BDTK,medium,discoveredAttack,approved,true,true,true,true,true,true,"Approved medium Discovered attack puzzle with popularity 100, 5098 plays, and rating deviation 75"
9C5Q9,hard,promotion,approved,true,true,true,true,true,true,"Approved hard Promotion puzzle with popularity 99, 1062 plays, and rating deviation 79"
9CCou,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1024 plays, and rating deviation 75"
9G0yd,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3834 plays, and rating deviation 76"
9H9La,medium,skewer,approved,true,true,true,true,true,true,"Approved medium Skewer puzzle with popularity 100, 3631 plays, and rating deviation 75"
9JESM,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 100, 1373 plays, and rating deviation 77"
9Kjbj,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 5148 plays, and rating deviation 76"
9PWGI,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4194 plays, and rating deviation 74"
9Twb3,medium,promotion,approved,true,true,true,true,true,true,"Approved medium Promotion puzzle with popularity 100, 4042 plays, and rating deviation 75"
9UnL0,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 98, 3604 plays, and rating deviation 79"
9V0Po,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 98, 2430 plays, and rating deviation 78"
9VYJ9,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1102 plays, and rating deviation 76"
9VqGR,easy,deflection,approved,true,true,true,true,true,true,"Approved easy Deflection puzzle with popularity 100, 5538 plays, and rating deviation 75"
9XWAR,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 6079 plays, and rating deviation 76"
9XbQk,easy,pin,approved,true,true,true,true,true,true,"Approved easy Pin puzzle with popularity 100, 4710 plays, and rating deviation 74"
9cSWZ,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3635 plays, and rating deviation 75"
9d8PX,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4173 plays, and rating deviation 76"
9eXvi,medium,skewer,approved,true,true,true,true,true,true,"Approved medium Skewer puzzle with popularity 100, 5995 plays, and rating deviation 77"
9n2G9,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4610 plays, and rating deviation 74"
9qgB0,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 3176 plays, and rating deviation 75"
9s93N,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4122 plays, and rating deviation 75"
9sLr3,hard,deflection,approved,true,true,true,true,true,true,"Approved hard Deflection puzzle with popularity 99, 1111 plays, and rating deviation 78"
9v5gt,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 99, 1042 plays, and rating deviation 75"
9zGw9,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3925 plays, and rating deviation 76"
A0ROq,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 3407 plays, and rating deviation 78"
A0tFZ,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3782 plays, and rating deviation 75"
A3y4m,easy,deflection,approved,true,true,true,true,true,true,"Approved easy Deflection puzzle with popularity 100, 4134 plays, and rating deviation 75"
ABxQE,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 5631 plays, and rating deviation 75"
AD2IX,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4095 plays, and rating deviation 76"
ADzqc,hard,discoveredAttack,approved,true,true,true,true,true,true,"Approved hard Discovered attack puzzle with popularity 100, 1525 plays, and rating deviation 75"
AFIM9,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 99, 1033 plays, and rating deviation 74"
AK3i0,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 6241 plays, and rating deviation 74"
ALGsV,easy,advancedPawn,approved,true,true,true,true,true,true,"Approved easy Advanced pawn tactics puzzle with popularity 100, 15915 plays, and rating deviation 76"
ALjme,medium,discoveredAttack,approved,true,true,true,true,true,true,"Approved medium Discovered attack puzzle with popularity 100, 4010 plays, and rating deviation 75"
ARRYN,easy,discoveredAttack,approved,true,true,true,true,true,true,"Approved easy Discovered attack puzzle with popularity 100, 5188 plays, and rating deviation 75"
AXBEu,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 5713 plays, and rating deviation 75"
AdfV1,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 4191 plays, and rating deviation 77"
AgoSi,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 100, 1379 plays, and rating deviation 79"
AoVfw,medium,pin,approved,true,true,true,true,true,true,"Approved medium Pin puzzle with popularity 100, 4482 plays, and rating deviation 75"
AqlRD,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4151 plays, and rating deviation 76"
As6Kk,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1025 plays, and rating deviation 77"
AvAxT,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 100, 1358 plays, and rating deviation 76"
AvY3g,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 99, 1087 plays, and rating deviation 75"
B4tAg,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 3976 plays, and rating deviation 75"
BDPQ1,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4178 plays, and rating deviation 75"
BFx0h,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 6163 plays, and rating deviation 75"
BInSx,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4367 plays, and rating deviation 75"
BRHqK,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3310 plays, and rating deviation 77"
BT2ox,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 5446 plays, and rating deviation 74"
BXTAN,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 4646 plays, and rating deviation 76"
Beg1e,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 98, 2871 plays, and rating deviation 75"
Bhzpv,medium,skewer,approved,true,true,true,true,true,true,"Approved medium Skewer puzzle with popularity 100, 4398 plays, and rating deviation 75"
BjEax,easy,skewer,approved,true,true,true,true,true,true,"Approved easy Skewer puzzle with popularity 100, 2911 plays, and rating deviation 76"
Blacy,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 3635 plays, and rating deviation 77"
BpJgk,medium,fork,approved,true,true,true,true,true,true,"Approved medium Fork puzzle with popularity 100, 3597 plays, and rating deviation 76"
BuD0E,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 5919 plays, and rating deviation 75"
Byh1y,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 15607 plays, and rating deviation 79"
C0RTy,hard,fork,approved,true,true,true,true,true,true,"Approved hard Fork puzzle with popularity 100, 1007 plays, and rating deviation 75"
C0Unt,hard,pin,approved,true,true,true,true,true,true,"Approved hard Pin puzzle with popularity 99, 1444 plays, and rating deviation 75"
C11NL,medium,deflection,approved,true,true,true,true,true,true,"Approved medium Deflection puzzle with popularity 100, 3969 plays, and rating deviation 75"
C4FBM,hard,sacrifice,approved,true,true,true,true,true,true,"Approved hard Sacrifice puzzle with popularity 99, 1181 plays, and rating deviation 77"
C4PSn,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4835 plays, and rating deviation 77"
C5Pus,hard,advancedPawn,approved,true,true,true,true,true,true,"Approved hard Advanced pawn tactics puzzle with popularity 99, 1276 plays, and rating deviation 76"
CC1w5,easy,fork,approved,true,true,true,true,true,true,"Approved easy Fork puzzle with popularity 100, 4228 plays, and rating deviation 75"
CNTQU,easy,sacrifice,approved,true,true,true,true,true,true,"Approved easy Sacrifice puzzle with popularity 100, 4567 plays, and rating deviation 75"
CTHip,hard,discoveredAttack,approved,true,true,true,true,true,true,"Approved hard Discovered attack puzzle with popularity 99, 1465 plays, and rating deviation 75"
CTwlY,easy,mate,approved,true,true,true,true,true,true,"Approved easy Mate puzzle with popularity 100, 4220 plays, and rating deviation 74"
CaM35,medium,mate,approved,true,true,true,true,true,true,"Approved medium Mate puzzle with popularity 100, 4038 plays, and rating deviation 77"
Cd4k5,medium,promotion,approved,true,true,true,true,true,true,"Approved medium Promotion puzzle with popularity 100, 3631 plays, and rating deviation 76"
CmOuU,hard,mate,approved,true,true,true,true,true,true,"Approved hard Mate puzzle with popularity 99, 1222 plays, and rating deviation 78"
Cq3r5,medium,sacrifice,approved,true,true,true,true,true,true,"Approved medium Sacrifice puzzle with popularity 100, 3520 plays, and rating deviation 75"
