sourceId,sourceFen,setupMove,playableFen,solutionMoves,rating,difficulty,popularity,ratingDeviation,numberOfPlays,themes,reviewStatus,inclusionReason
0lBW3,1R3b1r/p2pkp1p/6pP/3bPP2/3N4/2r5/P1P5/4KR2 b - - 0 24,g6f5,1R3b1r/p2pkp1p/7P/3bPp2/3N4/2r5/P1P5/4KR2 w - - 0 25,d4f5 e7e6 b8e8 f8e7 e8e7,1350,easy,100,76,4222,long mate mateIn3 middlegame,approved,"Approved easy Mate puzzle with popularity 100, 4222 plays, and rating deviation 76"
0ogxM,1B2r1k1/5ppp/1pp5/8/2P4P/3P2Pb/2Pn4/1R3RK1 w - - 1 27,f1e1,1B2r1k1/5ppp/1pp5/8/2P4P/3P2Pb/2Pn4/1R2R1K1 b - - 2 27,d2f3 g1f2 f3e1 b1e1 e8b8,2088,hard,99,76,1110,advantage endgame fork long,approved,"Approved hard Fork puzzle with popularity 99, 1110 plays, and rating deviation 76"
0pbrW,2Q5/4p3/3pk3/p3rqp1/1p6/1P6/PKP5/3R4 b - - 3 34,e6f6,2Q5/4p3/3p1k2/p3rqp1/1p6/1P6/PKP5/3R4 w - - 4 35,d1f1 f5f1 c8f8 f6g6 f8f1,2032,hard,98,78,1719,advantage endgame long pin sacrifice skewer,approved,"Approved hard Pin puzzle with popularity 98, 1719 plays, and rating deviation 78"
0uv4N,8/8/1k3p1p/p1p1b3/P1BrP3/1P2K2P/8/7R w - - 3 41,h1g1,8/8/1k3p1p/p1p1b3/P1BrP3/1P2K2P/8/6R1 b - - 4 41,d4c4 b3c4 e5d4 e3f4 d4g1,1372,easy,100,74,2825,clearance crushing endgame long sacrifice skewer,approved,"Approved easy Skewer puzzle with popularity 100, 2825 plays, and rating deviation 74"
0y4wp,8/8/4k3/1r6/4p2P/3p2P1/5P2/3R1K2 w - - 2 46,f2f3,8/8/4k3/1r6/4p2P/3p1PP1/8/3R1K2 b - - 0 46,b5f5 f1g2 f5f3,2127,hard,98,78,3478,advantage endgame master pin rookEndgame short,approved,"Approved hard Pin puzzle with popularity 98, 3478 plays, and rating deviation 78"
0ypij,r2k4/7R/p3p3/3pN3/1p2nP2/8/6P1/6K1 b - - 0 40,a6a5,r2k4/7R/4p3/p2pN3/1p2nP2/8/6P1/6K1 w - - 0 41,h7h8 d8e7 h8a8,1413,medium,100,75,2691,advantage endgame short skewer,approved,"Approved medium Skewer puzzle with popularity 100, 2691 plays, and rating deviation 75"
134eC,2r1r1k1/p4q1p/bp4pP/3R4/P1n3N1/4N3/4QPP1/2R3K1 b - - 0 28,f7d5,2r1r1k1/p6p/bp4pP/3q4/P1n3N1/4N3/4QPP1/2R3K1 w - - 0 29,g4f6 g8f7 f6d5,1165,easy,100,76,18134,advantage fork master middlegame short,approved,"Approved easy Fork puzzle with popularity 100, 18134 plays, and rating deviation 76"
13qOa,r7/ppp2p2/2kb1N2/4p1R1/P3Pp2/2PB4/1P3r2/2K5 b - - 0 25,f2f3,r7/ppp2p2/2kb1N2/4p1R1/P3Pp2/2PB1r2/1P6/2K5 w - - 1 26,d3b5 c6b6 f6d5 b6a5 b2b4 d6b4 c3b4,2185,hard,98,77,2105,endgame exposedKing mate mateIn4 veryLong,approved,"Approved hard Mate puzzle with popularity 98, 2105 plays, and rating deviation 77"
18GEz,2r4r/8/2R5/1p2p1pk/4P3/1BKP4/1PP4N/8 w - - 1 38,b3d5,2r4r/8/2R5/1p1Bp1pk/4P3/2KP4/1PP4N/8 b - - 2 38,c8c6 d5c6 h8c8,1449,medium,100,75,5206,advantage clearance endgame pin short,approved,"Approved medium Pin puzzle with popularity 100, 5206 plays, and rating deviation 75"
18V9o,2rq4/p2n1rpk/1p3n1p/5P2/3P4/2P1PNQ1/PP3P1P/2K3R1 b - - 6 22,f6g8,2rq2n1/p2n1rpk/1p5p/5P2/3P4/2P1PNQ1/PP3P1P/2K3R1 w - - 7 23,g3g6 h7h8 g6f7,1374,easy,100,77,4487,advantage fork middlegame short,approved,"Approved easy Fork puzzle with popularity 100, 4487 plays, and rating deviation 77"
1AvDn,6k1/P4pp1/1n5p/1Pqp4/3p4/5PQP/6PK/8 b - - 1 45,c5b5,6k1/P4pp1/1n5p/1q1p4/3p4/5PQP/6PK/8 w - - 0 46,g3b8 g8h7 a7a8q b6a8 b8b5,1390,easy,100,75,3897,advancedPawn crushing endgame long promotion,approved,"Approved easy Promotion puzzle with popularity 100, 3897 plays, and rating deviation 75"
1HcuU,r5rk/p1R3pp/4p3/8/3P1N2/6QP/Pn3PPK/1q2B3 b - - 1 28,b1e1,r5rk/p1R3pp/4p3/8/3P1N2/6QP/Pn3PPK/4q3 w - - 0 29,f4g6 h7g6 g3h4,1356,easy,100,76,5129,mate mateIn2 middlegame sacrifice short,approved,"Approved easy Sacrifice puzzle with popularity 100, 5129 plays, and rating deviation 76"
1W56a,3r3k/Qp2R1pp/2p3r1/7q/5p2/P1P2P1P/1P5K/6R1 w - - 1 30,a7f2,3r3k/1p2R1pp/2p3r1/7q/5p2/P1P2P1P/1P3Q1K/6R1 b - - 2 30,g6g1 h2g1 h5g5 g1h1 g5e7,2245,hard,98,77,2147,attraction crushing endgame fork long,approved,"Approved hard Fork puzzle with popularity 98, 2147 plays, and rating deviation 77"
1jEnT,4r3/1p4k1/2n5/p4pR1/5Q1K/PP1p1P2/7P/4rq2 b - - 0 45,g7f7,4r3/1p3k2/2n5/p4pR1/5Q1K/PP1p1P2/7P/4rq2 w - - 1 46,f4f5 f7e7 g5g7 e7d6 g7d7,2017,hard,99,75,2406,endgame exposedKing killBoxMate long mate mateIn3,approved,"Approved hard Mate puzzle with popularity 99, 2406 plays, and rating deviation 75"
1lOKk,3r4/8/p1P1k3/2K3pp/1P1Bp3/8/5P1P/8 b - - 4 47,g5g4,3r4/8/p1P1k3/2K4p/1P1Bp1p1/8/5P1P/8 w - - 0 48,c6c7 d8g8 c5c6,2069,hard,100,76,1041,advancedPawn advantage defensiveMove endgame short,approved,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1041 plays, and rating deviation 76"
1tZVN,8/3B4/1B1k4/8/4pnp1/5n2/5P2/3K4 b - - 23 61,d6e5,8/3B4/1B6/4k3/4pnp1/5n2/5P2/3K4 w - - 24 62,b6c7 e5d4 c7f4,1167,easy,100,76,3376,crushing deflection endgame master short skewer,approved,"Approved easy Skewer puzzle with popularity 100, 3376 plays, and rating deviation 76"
1zx3Y,3Q2k1/5r1p/3p2p1/2p5/1p1qPp2/1P1P1P1R/r1P1K1P1/2R5 b - - 4 31,g8g7,3Q4/5rkp/3p2p1/2p5/1p1qPp2/1P1P1P1R/r1P1K1P1/2R5 w - - 5 32,h3h7 g7h7 c1h1 h7g7 d8h8,1381,easy,100,74,6270,attraction endgame long mate mateIn3 sacrifice,approved,"Approved easy Sacrifice puzzle with popularity 100, 6270 plays, and rating deviation 74"
22QXr,8/p3R3/2k1P3/5P2/1p1p3P/nPnR2P1/r7/4K3 w - - 0 45,d3d4,8/p3R3/2k1P3/5P2/1p1R3P/nPn3P1/r7/4K3 b - - 0 45,a3c2 e1d2 c2d4,1431,medium,100,76,3483,advantage discoveredAttack discoveredCheck endgame fork short,approved,"Approved medium Fork puzzle with popularity 100, 3483 plays, and rating deviation 76"
25Yhz,2r2r1k/1p1n1pR1/4p2p/pP1pP2N/P2P4/6Q1/1n1q2PP/5RK1 b - - 2 24,c8c1,5r1k/1p1n1pR1/4p2p/pP1pP2N/P2P4/6Q1/1n1q2PP/2r2RK1 w - - 3 25,g7h7 h8h7 g3g7,1439,medium,100,74,3650,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,approved,"Approved medium Sacrifice puzzle with popularity 100, 3650 plays, and rating deviation 74"
25etE,r1b4k/pp1p2pB/4p3/2P4Q/1P6/P7/3K4/q5b1 b - - 4 28,a1f6,r1b4k/pp1p2pB/4pq2/2P4Q/1P6/P7/3K4/6b1 w - - 5 29,h7g6 h8g8 h5h7 g8f8 h7h8 f8e7 h8e8,1414,medium,100,75,6894,discoveredAttack discoveredCheck endgame mate mateIn4 veryLong,approved,"Approved medium Discovered attack puzzle with popularity 100, 6894 plays, and rating deviation 75"
29I6J,6k1/1b1Q1pp1/p3p2p/1pq5/7b/P4P1P/1P4P1/1B5K b - - 1 30,b7f3,6k1/3Q1pp1/p3p2p/1pq5/7b/P4b1P/1P4P1/1B5K w - - 0 31,d7e8 c5f8 b1h7 g8h7 e8f8,1431,medium,100,75,3900,advantage deflection endgame long,approved,"Approved medium Deflection puzzle with popularity 100, 3900 plays, and rating deviation 75"
2EBqD,8/8/P7/7p/6p1/6P1/5k2/7K w - - 1 57,h1h2,8/8/P7/7p/6p1/6P1/5k1K/8 b - - 2 57,h5h4 g3h4 g4g3 h2h3 g3g2,1358,easy,100,78,4019,advancedPawn crushing endgame long pawnEndgame,approved,"Approved easy Advanced pawn tactics puzzle with popularity 100, 4019 plays, and rating deviation 78"
2L3ID,2r4r/p1N3kp/p1qP2p1/3p4/6P1/5Q2/PPP4P/2K2R2 b - - 3 28,h8f8,2r2r2/p1N3kp/p1qP2p1/3p4/6P1/5Q2/PPP4P/2K2R2 w - - 4 29,c7e6 g7h8 f3f8 c8f8 f1f8,1591,medium,100,76,4095,deflection endgame fork long mate mateIn3,approved,"Approved medium Fork puzzle with popularity 100, 4095 plays, and rating deviation 76"
2LWHH,2r3k1/2q1Rpb1/2Np3p/3Q4/8/1P4K1/P7/8 b - - 2 38,c7c6,2r3k1/4Rpb1/2qp3p/3Q4/8/1P4K1/P7/8 w - - 0 39,d5f7 g8h8 f7g7,960,easy,100,76,4057,endgame mate mateIn2 short,approved,"Approved easy Mate puzzle with popularity 100, 4057 plays, and rating deviation 76"
2M9AE,1q2r2k/6pp/1r3p2/1PN5/3P4/1Q5P/5PP1/1R4K1 b - - 2 32,h7h6,1q2r2k/6p1/1r3p1p/1PN5/3P4/1Q5P/5PP1/1R4K1 w - - 0 33,c5d7 b6b5 d7b8 b5b3 b1b3,991,easy,100,76,8077,advantage endgame fork long,approved,"Approved easy Fork puzzle with popularity 100, 8077 plays, and rating deviation 76"
2RVn3,6k1/p1p4p/1p3np1/4b1q1/4Pp2/2P4P/PP3BP1/3Q2KN b - - 0 25,f6e4,6k1/p1p4p/1p4p1/4b1q1/4np2/2P4P/PP3BP1/3Q2KN w - - 0 26,d1d5 g8g7 d5e4,1451,medium,100,75,3296,advantage endgame fork short,approved,"Approved medium Fork puzzle with popularity 100, 3296 plays, and rating deviation 75"
2ctvT,1r4k1/5p1p/3p1QpP/3PP3/8/5RP1/1q4BK/q7 b - - 0 32,b2e5,1r4k1/5p1p/3p1QpP/3Pq3/8/5RP1/6BK/q7 w - - 0 33,f6f7 g8h8 f7f8 b8f8 f3f8,1403,medium,100,74,3581,endgame long mate mateIn3 sacrifice,approved,"Approved medium Sacrifice puzzle with popularity 100, 3581 plays, and rating deviation 74"
2g57m,7k/4N1bp/2P1q1p1/1p6/3p3Q/1P5P/6P1/6K1 b - - 0 32,g7f6,7k/4N2p/2P1qbp1/1p6/3p3Q/1P5P/6P1/6K1 w - - 1 33,e7g6 h8g7 h4h7 g7h7 g6f8 h7h6 f8e6,2088,hard,99,76,1080,attraction crushing endgame fork pin sacrifice veryLong,approved,"Approved hard Fork puzzle with popularity 99, 1080 plays, and rating deviation 76"
2gwzr,1k6/ppbn1r2/2pq2B1/3p3p/1P1P3Q/P1N3PP/5P2/4R1K1 b - - 0 26,d6g6,1k6/ppbn1r2/2p3q1/3p3p/1P1P3Q/P1N3PP/5P2/4R1K1 w - - 0 27,e1e8 c7d8 h4d8,1348,easy,100,76,5223,mate mateIn2 middlegame queensideAttack short,approved,"Approved easy Mate puzzle with popularity 100, 5223 plays, and rating deviation 76"
2ihZi,6k1/5pPp/4pK2/2b5/3p1P2/2pBn1P1/p1P1R3/6r1 b - - 0 39,a2a1q,6k1/5pPp/4pK2/2b5/3p1P2/2pBn1P1/2P1R3/q5r1 w - - 0 40,d3h7 g8h7 e2h2 h7g8 h2h8,1311,easy,100,76,4038,attraction endgame long mate mateIn3 sacrifice,approved,"Approved easy Sacrifice puzzle with popularity 100, 4038 plays, and rating deviation 76"
2ogzE,7r/2R3k1/8/6K1/8/8/8/8 b - - 72 78,g7g8,6kr/2R5/8/6K1/8/8/8/8 w - - 73 79,g5g6 g8f8 c7c8 f8e7 c8h8,1514,medium,100,75,2671,crushing endgame exposedKing long rookEndgame skewer,approved,"Approved medium Skewer puzzle with popularity 100, 2671 plays, and rating deviation 75"
2peWl,2r3k1/p5p1/2q2p2/4n3/b3P3/1P1P1P2/P1P4P/R1BK1RQ1 w - - 1 25,b3a4,2r3k1/p5p1/2q2p2/4n3/P3P3/3P1P2/P1P4P/R1BK1RQ1 b - - 0 25,c6c2 d1e1 e5d3,1425,medium,100,78,3632,cornerMate mate mateIn2 middlegame short,approved,"Approved medium Mate puzzle with popularity 100, 3632 plays, and rating deviation 78"
2vwtm,kb4r1/pp3p1p/2b2B2/1N1r3q/1P4p1/P3P1P1/2Q1BP1P/R3R1K1 w - - 1 23,b5d4,kb4r1/pp3p1p/2b2B2/3r3q/1P1N2p1/P3P1P1/2Q1BP1P/R3R1K1 b - - 2 23,h5h2 g1h2 d5h5 f6h4 h5h4 h2g1 h4h1,2083,hard,99,76,1317,attraction kingsideAttack mate mateIn4 middlegame pin sacrifice veryLong,approved,"Approved hard Pin puzzle with popularity 99, 1317 plays, and rating deviation 76"
2y11K,6k1/pppK4/4P3/3p2P1/4b3/2P1P3/PP3r2/8 b - - 4 57,g8f8,5k2/pppK4/4P3/3p2P1/4b3/2P1P3/PP3r2/8 w - - 5 58,e6e7 f8g7 e7e8q f2f7 d7e6,1428,medium,100,75,4895,advancedPawn advantage deflection endgame long promotion,approved,"Approved medium Deflection puzzle with popularity 100, 4895 plays, and rating deviation 75"
322Fx,r4rk1/2p2pp1/p6p/1p2R3/3P3q/1BP2Q1b/PP3b2/RNB4K w - - 0 17,e5h5,r4rk1/2p2pp1/p6p/1p5R/3P3q/1BP2Q1b/PP3b2/RNB4K b - - 1 17,h3g4 h5h4 g4f3 h1h2 f2h4,2002,hard,99,75,1415,advantage discoveredAttack discoveredCheck exposedKing fork long middlegame,approved,"Approved hard Fork puzzle with popularity 99, 1415 plays, and rating deviation 75"
35JUo,1k4r1/1pp5/8/p1q1p3/2Pn4/P4Q2/5RP1/5RK1 w - - 1 38,f3d5,1k4r1/1pp5/8/p1qQp3/2Pn4/P7/5RP1/5RK1 b - - 2 38,d4e2 g1h2 g8h8,1484,medium,100,79,3302,anastasiaMate endgame mate mateIn2 pin short,approved,"Approved medium Pin puzzle with popularity 100, 3302 plays, and rating deviation 79"
39ApR,2r4k/pp2PQ1p/2r3p1/P7/2B5/1P4PP/5PK1/q7 b - - 1 33,a1e5,2r4k/pp2PQ1p/2r3p1/P3q3/2B5/1P4PP/5PK1/8 w - - 2 34,f7f8 c8f8 e7f8q,1423,medium,100,74,3854,advancedPawn endgame mate mateIn2 promotion short,approved,"Approved medium Promotion puzzle with popularity 100, 3854 plays, and rating deviation 74"
3EHpM,r1b1kb1r/1pN2ppp/p1qp4/8/2Q4B/8/P1PK1P1P/8 b kq - 1 17,e8d7,r1b2b1r/1pNk1ppp/p1qp4/8/2Q4B/8/P1PK1P1P/8 w - - 2 18,c4f7 f8e7 f7e7,1456,medium,100,75,3882,mate mateIn2 middlegame short,approved,"Approved medium Mate puzzle with popularity 100, 3882 plays, and rating deviation 75"
3Fn7t,r4rk1/1p3ppp/p3n3/3NP1q1/8/P2Q1R2/1P4PP/R5K1 b - - 3 21,g5e5,r4rk1/1p3ppp/p3n3/3Nq3/8/P2Q1R2/1P4PP/R5K1 w - - 0 22,d5e7 g8h8 d3h7 h8h7 f3h3 e5h5 h3h5,1526,medium,100,79,3372,anastasiaMate attraction mate mateIn4 middlegame sacrifice veryLong,approved,"Approved medium Sacrifice puzzle with popularity 100, 3372 plays, and rating deviation 79"
3FtEG,7k/R7/1p3K2/2p4p/2P3pP/P1P3P1/6r1/8 b - - 0 38,g2g3,7k/R7/1p3K2/2p4p/2P3pP/P1P3r1/8/8 w - - 0 39,f6g6 g3f3 a7a8 f3f8 a8f8,1447,medium,100,75,3548,endgame exposedKing long mate mateIn3 rookEndgame,approved,"Approved medium Mate puzzle with popularity 100, 3548 plays, and rating deviation 75"
3K5pW,5Rk1/1p3p2/r3q3/2p5/1pP1p2p/1P2P3/PQ2bPP1/3R2K1 b - - 0 25,g8f8,5k2/1p3p2/r3q3/2p5/1pP1p2p/1P2P3/PQ2bPP1/3R2K1 w - - 0 26,b2h8 f8e7 h8d8,1433,medium,100,76,3624,endgame mate mateIn2 short,approved,"Approved medium Mate puzzle with popularity 100, 3624 plays, and rating deviation 76"
3KAfL,2k4q/5R1P/1p4P1/p1p5/8/6K1/P7/8 b - - 0 44,c8d8,3k3q/5R1P/1p4P1/p1p5/8/6K1/P7/8 w - - 1 45,g6g7 h8h7 f7f8 d8c7 g7g8q,1310,easy,100,76,3856,advancedPawn crushing endgame exposedKing long promotion queenRookEndgame,approved,"Approved easy Promotion puzzle with popularity 100, 3856 plays, and rating deviation 76"
3Udpb,r4r2/1b1qbp1k/2n1p2N/p1pnP1NP/1p1p4/P2P2P1/1PPQ1PB1/R3R1K1 b - - 4 20,h7h6,r4r2/1b1qbp2/2n1p2k/p1pnP1NP/1p1p4/P2P2P1/1PPQ1PB1/R3R1K1 w - - 0 21,g5f7 h6h7 d2h6 h7g8 h6g6,2080,hard,99,78,1160,doubleCheck exposedKing long mate mateIn3 middlegame,approved,"Approved hard Mate puzzle with popularity 99, 1160 plays, and rating deviation 78"
3auaH,2kr3r/ppp2ppp/8/3Pp3/1q1nB3/2R5/PP1Q1PPP/4K2R b K - 4 16,f7f5,2kr3r/ppp3pp/8/3Ppp2/1q1nB3/2R5/PP1Q1PPP/4K2R w K f6 0 17,c3c7 c8c7 d2b4,1445,medium,100,75,3461,advantage discoveredAttack middlegame queensideAttack short,approved,"Approved medium Discovered attack puzzle with popularity 100, 3461 plays, and rating deviation 75"
3bsA7,5Rrk/2p5/p2p2r1/1p5p/3bPQN1/1P1P3P/2q3P1/5R1K b - - 1 28,h5g4,5Rrk/2p5/p2p2r1/1p6/3bPQp1/1P1P3P/2q3P1/5R1K w - - 0 29,f8g8 h8g8 f4f7 g8h8 f7g6,2021,hard,99,76,1672,attraction crushing exposedKing fork long middlegame,approved,"Approved hard Fork puzzle with popularity 99, 1672 plays, and rating deviation 76"
3cwew,8/p6p/1p4k1/3p2p1/1P6/P3Q1P1/2q3K1/2B5 w - - 3 42,g2f3,8/p6p/1p4k1/3p2p1/1P6/P3QKP1/2q5/2B5 b - - 4 42,g5g4 f3g4 c2f5 g4h4 f5h5,2025,hard,99,75,1720,attraction endgame long mate mateIn3,approved,"Approved hard Mate puzzle with popularity 99, 1720 plays, and rating deviation 75"
3fVTm,8/2p2p2/p7/P1Nk4/1P6/3K1P1b/8/8 w - - 0 48,c5a6,8/2p2p2/N7/P2k4/1P6/3K1P1b/8/8 b - - 0 48,h3f1 d3d2 f1a6,1331,easy,100,76,3202,crushing endgame short skewer,approved,"Approved easy Skewer puzzle with popularity 100, 3202 plays, and rating deviation 76"
3lrmD,5r1k/1p4p1/6Bp/P3p3/4Q2N/4R1Pb/Pq3P1P/R5K1 w - - 0 27,a1e1,5r1k/1p4p1/6Bp/P3p3/4Q2N/4R1Pb/Pq3P1P/4R1K1 b - - 1 27,b2f2 g1h1 f2f1 e1f1 f8f1,1444,medium,100,74,4050,long mate mateIn3 middlegame pillsburysMate sacrifice,approved,"Approved medium Sacrifice puzzle with popularity 100, 4050 plays, and rating deviation 74"
3ptxX,7r/5rk1/4Q3/1R3pP1/3p1P2/3Pp1p1/2q1P3/5RK1 b - - 2 41,c2e2,7r/5rk1/4Q3/1R3pP1/3p1P2/3Pp1p1/4q3/5RK1 w - - 0 42,e6e5 g7h7 g5g6 h7g6 e5h8,2110,hard,99,76,1056,crushing deflection endgame exposedKing long,approved,"Approved hard Deflection puzzle with popularity 99, 1056 plays, and rating deviation 76"
3qUz7,8/p1r4p/2p1k1p1/3PN1B1/R1P2K1P/8/P5b1/6r1 b - - 0 38,c6d5,8/p1r4p/4k1p1/3pN1B1/R1P2K1P/8/P5b1/6r1 w - - 0 39,a4a6 c7c6 a6c6,886,easy,100,75,4163,endgame master mate mateIn2 pillsburysMate short,approved,"Approved easy Mate puzzle with popularity 100, 4163 plays, and rating deviation 75"
3uoHZ,7k/5Qp1/5b1p/pN2r3/Pn2q3/6P1/6PP/6RK b - - 12 38,e5e8,4r2k/5Qp1/5b1p/pN6/Pn2q3/6P1/6PP/6RK w - - 13 39,b5d6 e4e6 f7e8 e6e8 d6e8,1387,easy,100,74,4721,advantage fork long middlegame,approved,"Approved easy Fork puzzle with popularity 100, 4721 plays, and rating deviation 74"
3xco3,r2qk2r/pp1n1pb1/2ppp3/3n1p1p/3P3P/2N2PB1/PPPQB1P1/2KR2NR w kq - 0 12,g3f2,r2qk2r/pp1n1pb1/2ppp3/3n1p1p/3P3P/2N2P2/PPPQBBP1/2KR2NR b kq - 1 12,g7h6 d2h6 h8h6,1536,medium,100,75,3759,advantage opening pin short,approved,"Approved medium Pin puzzle with popularity 100, 3759 plays, and rating deviation 75"
426nd,r4r1k/2p2ppp/4pB2/n1PqP3/5P2/p5R1/PpQ2P1P/1K4R1 b - - 7 30,g7f6,r4r1k/2p2p1p/4pp2/n1PqP3/5P2/p5R1/PpQ2P1P/1K4R1 w - - 0 31,c2h7 h8h7 g3h3,1495,medium,100,75,3391,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,approved,"Approved medium Sacrifice puzzle with popularity 100, 3391 plays, and rating deviation 75"
45Li2,1k5r/p1q3p1/QbP1p3/P7/4N1p1/8/5rP1/1R2R1K1 w - - 0 29,a5b6,1k5r/p1q3p1/QPP1p3/8/4N1p1/8/5rP1/1R2R1K1 b - - 0 29,f2g2 g1g2 c7h2 g2f1 h8f8 e4f2 h2f2,2136,hard,100,76,1020,attraction mate mateIn4 middlegame sacrifice veryLong,approved,"Approved hard Sacrifice puzzle with popularity 100, 1020 plays, and rating deviation 76"
4BGWl,4nr1k/7p/R2pBRpP/2pPp1Q1/2P5/7P/1rq5/6K1 b - - 0 30,f8f6,4n2k/7p/R2pBrpP/2pPp1Q1/2P5/7P/1rq5/6K1 w - - 0 31,g5f6 e8f6 a6a8 b2b8 a8b8 f6e8 b8e8,1499,medium,100,75,3422,mate mateIn4 middlegame sacrifice veryLong,approved,"Approved medium Sacrifice puzzle with popularity 100, 3422 plays, and rating deviation 75"
4IM6l,8/1pR5/pP6/P2p1p2/3Pn3/4Pkp1/8/5K2 w - - 0 48,c7f7,8/1p3R2/pP6/P2p1p2/3Pn3/4Pkp1/8/5K2 b - - 1 48,g3g2 f1g1 e4g3,2009,hard,100,76,1048,advancedPawn crushing defensiveMove endgame master short,approved,"Approved hard Advanced pawn tactics puzzle with popularity 100, 1048 plays, and rating deviation 76"
4KEcq,r1bq3r/pppp2pp/2n1kn2/2b1p1NQ/4P3/2N5/PPPP1PPP/R1B1K2R b KQ - 7 7,e6d6,r1bq3r/pppp2pp/2nk1n2/2b1p1NQ/4P3/2N5/PPPP1PPP/R1B1K2R w KQ - 8 8,c3b5 d6e7 h5f7,2048,hard,98,76,2594,mate mateIn2 opening short,approved,"Approved hard Mate puzzle with popularity 98, 2594 plays, and rating deviation 76"
